model_name,dataset,pred_len,MSE,MAE
TiDE,weather,96,0.166,0.222
TiDE,weather,192,0.209,0.263
TiDE,weather,336,0.254,0.301
TiDE,weather,720,0.313,0.34
TiDE,weather,Avg,0.236,0.282
TiDE,h1,96,0.375,0.398
TiDE,h1,192,0.412,0.422
TiDE,h1,336,0.435,0.433
TiDE,h1,720,0.454,0.465
TiDE,h1,Avg,0.419,0.43
TiDE,h2,96,0.27,0.336
TiDE,h2,192,0.332,0.38
TiDE,h2,336,0.36,0.407
TiDE,h2,720,0.419,0.451
TiDE,h2,Avg,0.345,0.394
TiDE,m1,96,0.306,0.349
TiDE,m1,192,0.335,0.366
TiDE,m1,336,0.364,0.384
TiDE,m1,720,0.413,0.413
TiDE,m1,Avg,0.355,0.378
TiDE,m2,96,0.161,0.251
TiDE,m2,192,0.215,0.289
TiDE,m2,336,0.267,0.326
TiDE,m2,720,0.352,0.383
TiDE,m2,Avg,0.249,0.312
TiDE,ecl,96,0.132,0.229
TiDE,ecl,192,0.147,0.243
TiDE,ecl,336,0.161,0.261
TiDE,ecl,720,0.196,0.294
TiDE,ecl,Avg,0.159,0.257
TiDE,traffic,96,0.336,0.253
TiDE,traffic,192,0.346,0.257
TiDE,traffic,336,0.355,0.26
TiDE,traffic,720,0.386,0.273
TiDE,traffic,Avg,0.356,0.261
GPT2(6),weather,96,0.162,0.212
GPT2(6),weather,192,0.204,0.248
GPT2(6),weather,336,0.254,0.286
GPT2(6),weather,720,0.326,0.337
GPT2(6),weather,Avg,0.237,0.27
GPT2(6),h1,96,0.376,0.397
GPT2(6),h1,192,0.416,0.418
GPT2(6),h1,336,0.442,0.433
GPT2(6),h1,720,0.477,0.456
GPT2(6),h1,Avg,0.427,0.426
GPT2(6),h2,96,0.285,0.342
GPT2(6),h2,192,0.354,0.389
GPT2(6),h2,336,0.373,0.407
GPT2(6),h2,720,0.406,0.441
GPT2(6),h2,Avg,0.354,0.394
GPT2(6),m1,96,0.292,0.346
GPT2(6),m1,192,0.332,0.372
GPT2(6),m1,336,0.366,0.394
GPT2(6),m1,720,0.417,0.421
GPT2(6),m1,Avg,0.352,0.383
GPT2(6),m2,96,0.173,0.262
GPT2(6),m2,192,0.229,0.301
GPT2(6),m2,336,0.286,0.341
GPT2(6),m2,720,0.378,0.401
GPT2(6),m2,Avg,0.266,0.326
GPT2(6),ecl,96,0.139,0.238
GPT2(6),ecl,192,0.153,0.251
GPT2(6),ecl,336,0.169,0.266
GPT2(6),ecl,720,0.206,0.297
GPT2(6),ecl,Avg,0.167,0.263
GPT2(6),traffic,96,0.388,0.282
GPT2(6),traffic,192,0.407,0.29
GPT2(6),traffic,336,0.412,0.294
GPT2(6),traffic,720,0.45,0.312
GPT2(6),traffic,Avg,0.414,0.294
GPT2(0),weather,96,0.181,0.232
GPT2(0),weather,192,0.222,0.266
GPT2(0),weather,336,0.27,0.299
GPT2(0),weather,720,0.338,0.345
GPT2(0),weather,Avg,0.252,0.285
GPT2(0),h1,96,0.422,0.428
GPT2(0),h1,192,0.466,0.45
GPT2(0),h1,336,0.488,0.464
GPT2(0),h1,720,0.485,0.478
GPT2(0),h1,Avg,0.465,0.455
GPT2(0),h2,96,0.318,0.368
GPT2(0),h2,192,0.383,0.407
GPT2(0),h2,336,0.406,0.427
GPT2(0),h2,720,0.42,0.446
GPT2(0),h2,Avg,0.381,0.412
GPT2(0),m1,96,0.33,0.372
GPT2(0),m1,192,0.371,0.394
GPT2(0),m1,336,0.398,0.409
GPT2(0),m1,720,0.454,0.44
GPT2(0),m1,Avg,0.388,0.403
GPT2(0),m2,96,0.192,0.281
GPT2(0),m2,192,0.245,0.317
GPT2(0),m2,336,0.302,0.352
GPT2(0),m2,720,0.399,0.408
GPT2(0),m2,Avg,0.284,0.339
GPT2(0),ecl,96,0.138,0.234
GPT2(0),ecl,192,0.152,0.247
GPT2(0),ecl,336,0.168,0.263
GPT2(0),ecl,720,0.207,0.295
GPT2(0),ecl,Avg,0.166,0.259
GPT2(0),traffic,96,0.39,0.272
GPT2(0),traffic,192,0.403,0.276
GPT2(0),traffic,336,0.413,0.28
GPT2(0),traffic,720,0.447,0.298
GPT2(0),traffic,Avg,0.413,0.281
DLinear,weather,96,0.176,0.237
DLinear,weather,192,0.22,0.282
DLinear,weather,336,0.265,0.319
DLinear,weather,720,0.333,0.362
DLinear,weather,Avg,0.248,0.3
DLinear,h1,96,0.375,0.399
DLinear,h1,192,0.405,0.416
DLinear,h1,336,0.439,0.443
DLinear,h1,720,0.472,0.49
DLinear,h1,Avg,0.422,0.437
DLinear,h2,96,0.289,0.353
DLinear,h2,192,0.383,0.418
DLinear,h2,336,0.448,0.465
DLinear,h2,720,0.605,0.551
DLinear,h2,Avg,0.431,0.446
DLinear,m1,96,0.299,0.343
DLinear,m1,192,0.335,0.365
DLinear,m1,336,0.369,0.386
DLinear,m1,720,0.425,0.421
DLinear,m1,Avg,0.357,0.378
DLinear,m2,96,0.167,0.269
DLinear,m2,192,0.224,0.303
DLinear,m2,336,0.281,0.342
DLinear,m2,720,0.397,0.421
DLinear,m2,Avg,0.267,0.333
DLinear,ecl,96,0.14,0.237
DLinear,ecl,192,0.153,0.249
DLinear,ecl,336,0.169,0.267
DLinear,ecl,720,0.203,0.301
DLinear,ecl,Avg,0.166,0.263
DLinear,traffic,96,0.41,0.282
DLinear,traffic,192,0.423,0.287
DLinear,traffic,336,0.436,0.296
DLinear,traffic,720,0.466,0.315
DLinear,traffic,Avg,0.433,0.295
PatchTST,weather,96,0.149,0.198
PatchTST,weather,192,0.194,0.241
PatchTST,weather,336,0.245,0.282
PatchTST,weather,720,0.314,0.334
PatchTST,weather,Avg,0.225,0.264
PatchTST,h1,96,0.37,0.399
PatchTST,h1,192,0.413,0.421
PatchTST,h1,336,0.422,0.436
PatchTST,h1,720,0.447,0.466
PatchTST,h1,Avg,0.413,0.43
PatchTST,h2,96,0.274,0.336
PatchTST,h2,192,0.339,0.379
PatchTST,h2,336,0.329,0.38
PatchTST,h2,720,0.379,0.422
PatchTST,h2,Avg,0.33,0.379
PatchTST,m1,96,0.29,0.342
PatchTST,m1,192,0.332,0.369
PatchTST,m1,336,0.366,0.392
PatchTST,m1,720,0.416,0.42
PatchTST,m1,Avg,0.351,0.38
PatchTST,m2,96,0.165,0.255
PatchTST,m2,192,0.22,0.292
PatchTST,m2,336,0.274,0.329
PatchTST,m2,720,0.362,0.385
PatchTST,m2,Avg,0.255,0.315
PatchTST,ecl,96,0.129,0.222
PatchTST,ecl,192,0.157,0.24
PatchTST,ecl,336,0.163,0.259
PatchTST,ecl,720,0.197,0.29
PatchTST,ecl,Avg,0.161,0.252
PatchTST,traffic,96,0.36,0.249
PatchTST,traffic,192,0.379,0.256
PatchTST,traffic,336,0.392,0.264
PatchTST,traffic,720,0.432,0.286
PatchTST,traffic,Avg,0.39,0.263
TimesNet,weather,96,0.172,0.22
TimesNet,weather,192,0.219,0.261
TimesNet,weather,336,0.28,0.306
TimesNet,weather,720,0.365,0.359
TimesNet,weather,Avg,0.259,0.287
TimesNet,h1,96,0.384,0.402
TimesNet,h1,192,0.436,0.429
TimesNet,h1,336,0.491,0.469
TimesNet,h1,720,0.521,0.5
TimesNet,h1,Avg,0.458,0.45
TimesNet,h2,96,0.34,0.374
TimesNet,h2,192,0.402,0.414
TimesNet,h2,336,0.452,0.452
TimesNet,h2,720,0.462,0.468
TimesNet,h2,Avg,0.414,0.427
TimesNet,m1,96,0.338,0.375
TimesNet,m1,192,0.374,0.387
TimesNet,m1,336,0.41,0.411
TimesNet,m1,720,0.478,0.45
TimesNet,m1,Avg,0.4,0.406
TimesNet,m2,96,0.187,0.267
TimesNet,m2,192,0.249,0.309
TimesNet,m2,336,0.321,0.351
TimesNet,m2,720,0.408,0.403
TimesNet,m2,Avg,0.291,0.333
TimesNet,ecl,96,0.168,0.272
TimesNet,ecl,192,0.184,0.289
TimesNet,ecl,336,0.198,0.3
TimesNet,ecl,720,0.22,0.32
TimesNet,ecl,Avg,0.192,0.295
TimesNet,traffic,96,0.593,0.321
TimesNet,traffic,192,0.617,0.336
TimesNet,traffic,336,0.629,0.336
TimesNet,traffic,720,0.64,0.35
TimesNet,traffic,Avg,0.62,0.336
N-HiTS,weather,96,0.158,0.195
N-HiTS,weather,192,0.211,0.247
N-HiTS,weather,336,0.274,0.3
N-HiTS,weather,720,0.401,0.413
N-HiTS,weather,Avg,0.261,0.289
N-HiTS,h1,96,0.378,0.393
N-HiTS,h1,192,0.427,0.436
N-HiTS,h1,336,0.458,0.484
N-HiTS,h1,720,0.472,0.561
N-HiTS,h1,Avg,0.434,0.469
N-HiTS,h2,96,0.274,0.345
N-HiTS,h2,192,0.353,0.401
N-HiTS,h2,336,0.382,0.425
N-HiTS,h2,720,0.625,0.557
N-HiTS,h2,Avg,0.409,0.432
N-HiTS,m1,96,0.302,0.35
N-HiTS,m1,192,0.347,0.383
N-HiTS,m1,336,0.369,0.402
N-HiTS,m1,720,0.431,0.441
N-HiTS,m1,Avg,0.362,0.394
N-HiTS,m2,96,0.176,0.255
N-HiTS,m2,192,0.245,0.305
N-HiTS,m2,336,0.295,0.346
N-HiTS,m2,720,0.401,0.413
N-HiTS,m2,Avg,0.279,0.33
N-HiTS,ecl,96,0.147,0.249
N-HiTS,ecl,192,0.167,0.269
N-HiTS,ecl,336,0.186,0.29
N-HiTS,ecl,720,0.243,0.34
N-HiTS,ecl,Avg,0.186,0.287
N-HiTS,traffic,96,0.402,0.282
N-HiTS,traffic,192,0.42,0.297
N-HiTS,traffic,336,0.448,0.313
N-HiTS,traffic,720,0.539,0.353
N-HiTS,traffic,Avg,0.452,0.311
T5,weather,96,0.152,0.201
T5,weather,192,0.196,0.242
T5,weather,336,0.249,0.285
T5,weather,720,0.324,0.336
T5,weather,Avg,0.23,0.266
T5,h1,96,0.411,0.425
T5,h1,192,0.457,0.447
T5,h1,336,0.482,0.465
T5,h1,720,0.643,0.553
T5,h1,Avg,0.498,0.473
T5,h2,96,0.33,0.383
T5,h2,192,0.396,0.418
T5,h2,336,0.43,0.443
T5,h2,720,0.44,0.463
T5,h2,Avg,0.399,0.427
T5,m1,96,0.291,0.346
T5,m1,192,0.342,0.379
T5,m1,336,0.374,0.399
T5,m1,720,0.427,0.428
T5,m1,Avg,0.358,0.388
T5,m2,96,0.186,0.277
T5,m2,192,0.249,0.319
T5,m2,336,0.308,0.358
T5,m2,720,0.391,0.408
T5,m2,Avg,0.284,0.34
T5,ecl,96,0.123,0.224
T5,ecl,192,0.149,0.24
T5,ecl,336,0.166,0.258
T5,ecl,720,0.204,0.291
T5,ecl,Avg,0.161,0.253
T5,traffic,96,0.365,0.252
T5,traffic,192,0.385,0.259
T5,traffic,336,0.398,0.267
T5,traffic,720,0.433,0.288
T5,traffic,Avg,0.395,0.267
Bert,weather,96,0.15,0.197
Bert,weather,192,0.196,0.24
Bert,weather,336,0.247,0.28
Bert,weather,720,0.324,0.334
Bert,weather,Avg,0.229,0.263
Bert,h1,96,0.459,0.443
Bert,h1,192,0.548,0.492
Bert,h1,336,0.576,0.511
Bert,h1,720,0.665,0.563
Bert,h1,Avg,0.562,0.502
Bert,h2,96,0.377,0.404
Bert,h2,192,0.415,0.433
Bert,h2,336,0.414,0.437
Bert,h2,720,0.461,0.47
Bert,h2,Avg,0.417,0.436
Bert,m1,96,0.291,0.344
Bert,m1,192,0.339,0.374
Bert,m1,336,0.374,0.395
Bert,m1,720,0.421,0.426
Bert,m1,Avg,0.356,0.385
Bert,m2,96,0.177,0.263
Bert,m2,192,0.243,0.305
Bert,m2,336,0.299,0.346
Bert,m2,720,0.401,0.41
Bert,m2,Avg,0.28,0.331
Bert,ecl,96,0.13,0.222
Bert,ecl,192,0.1486,0.24
Bert,ecl,336,0.165,0.256
Bert,ecl,720,0.21,0.293
Bert,ecl,Avg,0.163,0.253
Bert,traffic,96,0.366,0.253
Bert,traffic,192,0.387,0.261
Bert,traffic,336,0.402,0.271
Bert,traffic,720,0.434,0.29
Bert,traffic,Avg,0.397,0.268
